player_id,full_name,team_name,position,season,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored
621383,Tanner Banks,Chicago White Sox,Pitcher,2024,63,73,63,41,11,1,6,78,25,2,69,3,.249,277,.313,.361,.674,5,13,.722,3,1174,,100,,,1,5,,1.16,0,,2.0,3.98,72.1,2.0,3.0,2.0,6.0,8.0,4.0,32.0,1.30,311.0,217.0,63.0,0.0,0.0,757.0,.640,3.0,0.0,0.0,2.0,.400,16.23,16.0,3.12,9.71,3.11,8.59,5.10,0.75,37.0,11.0
643217,Andrew Benintendi,Chicago White Sox,Outfielder,2024,135,122,153,50,20,0,20,96,41,1,109,1,.229,477,.289,.396,.685,2,3,.600,12,1995,522.0,189,64.0,194.0,0,3,.245,0.80,0,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672860,Prelander Berroa,Chicago White Sox,Pitcher,2024,17,10,18,7,4,0,2,26,13,1,15,1,.217,69,.349,.362,.711,2,2,.500,1,348,,25,,,0,0,,0.56,0,,0.0,3.32,19.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,1.47,83.0,57.0,17.0,0.0,0.0,213.0,.610,1.0,0.0,0.0,2.0,1.000,18.32,3.0,2.00,12.32,6.16,7.11,3.32,0.95,4.0,1.0
605154,John Brebbia,Chicago White Sox,Pitcher,2024,59,32,65,36,11,0,11,67,19,0,56,3,.255,220,.322,.455,.777,1,4,.800,1,994,,100,,,0,0,,0.49,0,,0.0,5.86,55.1,0.0,6.0,2.0,5.0,14.0,3.0,36.0,1.36,242.0,166.0,59.0,0.0,0.0,654.0,.660,3.0,0.0,1.0,0.0,.000,17.96,22.0,3.53,10.90,3.09,9.11,5.86,1.79,20.0,9.0
680732,Sean Burke,Chicago White Sox,Pitcher,2024,4,13,22,4,5,0,2,22,7,0,12,0,.174,69,.250,.333,.583,0,2,1.000,0,309,,23,,,0,0,,0.59,0,,3.0,1.42,19.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.00,76.0,57.0,4.0,0.0,0.0,194.0,.630,0.0,0.0,1.0,0.0,1.000,16.26,1.0,3.14,10.42,3.32,5.68,1.89,0.95,0.0,0.0
681066,Ky Bush,Chicago White Sox,Pitcher,2024,4,15,24,11,5,0,2,11,16,1,20,1,.290,69,.425,.449,.874,1,2,.667,2,328,,31,,,0,1,,0.63,0,,4.0,5.60,17.2,0.0,3.0,0.0,0.0,0.0,0.0,11.0,2.04,87.0,53.0,4.0,0.0,0.0,191.0,.580,1.0,0.0,2.0,1.0,.000,18.57,0.0,0.69,5.60,8.15,10.19,5.60,1.02,0.0,0.0
686563,Jonathan Cannon,Chicago White Sox,Pitcher,2024,23,117,144,65,24,3,18,91,40,0,125,4,.263,475,.324,.440,.764,7,10,.588,13,2028,,209,,,0,2,,0.81,1,,21.0,4.49,124.1,5.0,10.0,1.0,1.0,0.0,0.0,62.0,1.33,522.0,373.0,23.0,0.0,0.0,1275.0,.630,4.0,1.0,2.0,1.0,.333,16.31,1.0,2.28,6.59,2.90,9.05,4.71,1.30,0.0,0.0
605182,Mike Clevinger,Chicago White Sox,Pitcher,2024,4,13,19,13,5,1,4,15,9,1,22,0,.319,69,.397,.594,.991,0,5,1.000,1,303,,41,,,0,0,,0.68,0,,4.0,6.75,16.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,1.94,78.0,48.0,4.0,0.0,0.0,191.0,.630,0.0,0.0,2.0,1.0,.000,18.94,0.0,1.67,8.44,5.06,12.38,7.31,2.25,0.0,0.0
693049,Oscar Colás,Chicago White Sox,Outfielder,2024,13,9,5,1,0,0,0,10,4,0,9,1,.273,33,.368,.273,.641,1,0,.000,0,144,38.0,9,4.0,17.0,0,0,.391,1.80,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676979,Garrett Crochet,Chicago White Sox,Pitcher,2024,32,108,117,61,25,2,18,209,33,0,123,5,.222,555,.271,.371,.642,1,17,.944,8,2395,,206,,,0,2,,0.92,0,,32.0,3.58,146.0,6.0,12.0,0.0,0.0,0.0,0.0,58.0,1.07,595.0,438.0,32.0,0.0,0.0,1622.0,.680,5.0,1.0,3.0,0.0,.333,16.40,0.0,6.33,12.88,2.03,7.58,3.76,1.11,0.0,0.0
660853,Enyel De Los Santos,Chicago White Sox,Pitcher,2024,64,50,67,38,17,1,17,66,25,1,65,5,.262,248,.342,.544,.886,0,3,1.000,7,1127,,135,,,0,0,,0.75,0,,0.0,5.20,64.0,1.0,2.0,2.0,4.0,9.0,2.0,37.0,1.41,278.0,192.0,64.0,0.0,0.0,753.0,.670,5.0,0.0,2.0,1.0,.333,17.61,20.0,2.64,9.28,3.52,9.14,5.34,2.39,47.0,18.0
657557,Paul DeJong,Chicago White Sox,Shortstop,2024,139,73,120,54,17,0,24,156,23,0,101,9,.227,445,.276,.427,.703,2,2,.500,9,1851,482.0,190,56.0,214.0,0,5,.285,0.61,0,18.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641312,Shaun Anderson,Miami Marlins,Pitcher,2024,6,15,24,19,9,1,3,10,1,0,34,1,.415,82,.424,.659,1.083,0,0,.---,1,244,,54,,,0,1,,0.63,0,,2.0,8.27,16.1,0.0,2.0,0.0,0.0,0.0,0.0,15.0,2.14,85.0,49.0,6.0,0.0,0.0,171.0,.700,1.0,0.0,2.0,0.0,.000,14.94,3.0,10.00,5.51,0.55,18.73,10.47,1.65,6.0,0.0
641313,Tim Anderson,Miami Marlins,Shortstop,2024,65,75,41,16,3,0,0,68,7,0,50,0,.214,234,.237,.226,.463,4,4,.500,6,945,241.0,53,9.0,112.0,0,0,.301,1.83,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542882,Matt Andriese,Miami Marlins,Pitcher,2024,4,5,6,5,1,1,2,7,1,1,7,0,.280,25,.308,.640,.948,0,1,1.000,0,88,,16,,,0,0,,0.83,0,,0.0,6.00,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.33,26.0,18.0,4.0,0.0,0.0,65.0,.740,0.0,0.0,0.0,0.0,.000,14.67,4.0,7.00,10.50,1.50,10.50,7.50,3.00,0.0,0.0
650333,Luis Arraez,Miami Marlins,Second Base,2024,150,199,212,83,32,3,4,29,24,3,200,8,.314,637,.346,.392,.738,3,9,.750,18,2416,672.0,250,46.0,181.0,2,1,.324,0.94,0,159.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669199,Lake Bachar,Miami Marlins,Pitcher,2024,10,8,7,5,1,0,2,11,4,0,10,0,.278,36,.350,.472,.822,0,0,.---,2,161,,17,,,0,0,,1.14,0,,0.0,3.86,9.1,0.0,1.0,0.0,0.0,5.0,0.0,4.0,1.50,40.0,28.0,10.0,0.0,0.0,96.0,.600,0.0,0.0,0.0,0.0,.000,17.25,0.0,2.75,10.61,3.86,9.64,4.82,1.93,4.0,1.0
657508,Mike Baumann,Miami Marlins,Pitcher,2024,57,52,63,40,10,4,9,58,28,1,59,4,.259,228,.345,.456,.801,3,7,.700,3,1067,,104,,,0,4,,0.83,0,,0.0,5.55,58.1,3.0,1.0,0.0,3.0,9.0,3.0,36.0,1.49,264.0,175.0,57.0,0.0,0.0,677.0,.630,4.0,0.0,6.0,1.0,.750,18.29,15.0,2.07,8.95,4.32,9.10,6.17,1.39,28.0,14.0
605137,Josh Bell,Miami Marlins,First Base,2024,145,163,124,62,23,2,19,120,51,1,134,6,.249,538,.319,.405,.724,1,0,.000,22,2238,603.0,218,71.0,221.0,0,3,.286,1.31,5,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678368,Valente Bellozo,Miami Marlins,Pitcher,2024,13,46,113,31,14,1,15,44,21,1,69,2,.256,270,.312,.481,.793,1,2,.667,1,1094,,130,,,0,2,,0.41,0,,13.0,3.67,68.2,3.0,4.0,0.0,0.0,0.0,0.0,28.0,1.31,295.0,206.0,13.0,0.0,0.0,678.0,.620,2.0,0.0,0.0,1.0,.429,15.93,0.0,2.10,5.77,2.75,9.04,4.06,1.97,0.0,0.0
669622,Anthony Bender,Miami Marlins,Pitcher,2024,59,57,40,25,11,1,3,59,18,1,50,4,.245,204,.317,.353,.670,1,7,.875,5,954,,72,,,1,1,,1.43,0,,0.0,4.08,53.0,5.0,2.0,1.0,5.0,15.0,4.0,24.0,1.28,228.0,159.0,59.0,0.0,0.0,616.0,.650,4.0,0.0,2.0,0.0,.714,18.00,10.0,3.28,10.02,3.06,8.49,4.25,0.51,23.0,6.0
642834,Jonathan Bermúdez,Miami Marlins,Pitcher,2024,3,6,8,6,3,0,2,4,2,0,11,2,.393,28,.455,.714,1.169,0,1,1.000,0,121,,20,,,0,1,,0.75,0,,1.0,8.10,6.2,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.95,33.0,20.0,3.0,0.0,0.0,71.0,.590,2.0,0.0,0.0,0.0,.000,18.15,1.0,2.00,5.40,2.70,14.85,8.10,2.70,1.0,0.0
542194,Christian Bethancourt,Miami Marlins,Catcher,2024,62,37,39,18,7,0,5,36,5,0,29,1,.209,139,.241,.367,.608,0,3,1.000,2,516,147.0,51,22.0,63.0,2,0,.245,0.95,0,27.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623211,Huascar Brazobán,Miami Marlins,Pitcher,2024,39,53,47,26,3,3,2,51,25,0,38,3,.201,189,.304,.280,.584,1,4,.800,4,899,,53,,,0,0,,1.13,0,,0.0,3.83,51.2,1.0,3.0,0.0,5.0,5.0,5.0,22.0,1.22,217.0,155.0,39.0,0.0,0.0,561.0,.620,3.0,0.0,4.0,0.0,.250,17.40,4.0,2.04,8.88,4.35,6.62,4.53,0.35,18.0,9.0
681146,Jonah Bride,Miami Marlins,First Base,2024,71,65,55,30,10,0,11,55,30,1,64,3,.276,232,.357,.461,.818,1,0,.000,9,1157,272.0,107,39.0,109.0,0,7,.306,1.18,0,21.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660644,Vidal Bruján,Miami Marlins,Shortstop,2024,102,84,56,32,14,2,2,54,25,3,55,4,.222,248,.303,.319,.622,6,5,.455,5,1055,278.0,79,16.0,108.0,1,0,.276,1.50,0,124.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669394,Jake Burger,Miami Marlins,Third Base,2024,137,123,132,68,23,1,29,150,31,2,134,9,.250,535,.301,.460,.761,1,1,.500,11,2081,579.0,246,76.0,209.0,0,4,.292,0.93,0,18.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677076,Clayton Andrews,New York Yankees,Pitcher,2024,1,0,0,1,0,0,1,1,0,0,1,1,.500,2,.667,2.000,2.667,0,0,.---,0,15,,4,,,0,0,,-.--,0,,0.0,27.00,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00,3.0,1.0,1.0,0.0,0.0,10.0,.670,1.0,0.0,0.0,0.0,.---,45.00,0.0,-.--,27.00,0.00,27.00,27.00,27.00,0.0,0.0
690925,Clayton Beeter,New York Yankees,Pitcher,2024,3,2,3,2,2,0,0,5,1,0,4,0,.286,14,.333,.429,.762,0,1,1.000,0,51,,6,,,0,0,,0.67,0,,0.0,4.91,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.36,15.0,11.0,3.0,0.0,0.0,34.0,.670,0.0,0.0,0.0,0.0,.---,13.91,1.0,5.00,12.27,2.45,9.82,4.91,0.00,1.0,1.0
542932,Jon Berti,New York Yankees,Third Base,2024,25,17,18,10,0,0,1,14,6,0,18,1,.273,66,.342,.318,.660,1,5,.833,2,271,74.0,21,6.0,28.0,1,0,.333,0.94,0,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641360,Phil Bickford,New York Yankees,Pitcher,2024,8,8,12,9,2,0,1,6,1,0,10,1,.278,36,.316,.417,.733,0,2,1.000,0,154,,15,,,0,0,,0.67,1,,0.0,8.64,8.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.32,39.0,25.0,8.0,0.0,0.0,99.0,.640,1.0,0.0,0.0,0.0,.---,18.48,4.0,6.00,6.48,1.08,10.80,9.72,1.08,2.0,1.0
595897,Nick Burdi,New York Yankees,Pitcher,2024,12,3,14,2,0,0,1,12,9,0,5,2,.147,34,.356,.235,.591,1,1,.500,0,210,,8,,,0,0,,0.21,0,,0.0,1.86,9.2,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.45,45.0,29.0,12.0,0.0,0.0,123.0,.590,2.0,0.0,3.0,0.0,1.000,21.72,1.0,1.33,11.17,8.38,4.66,1.86,0.93,11.0,6.0
665828,Oswaldo Cabrera,New York Yankees,Third Base,2024,109,80,87,47,11,0,8,63,21,0,74,1,.247,299,.296,.365,.661,2,4,.667,6,1267,326.0,109,36.0,130.0,2,3,.286,0.92,0,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665862,Jazz Chisholm Jr.,New York Yankees,Third Base,2024,147,143,125,74,21,4,24,152,53,5,144,4,.256,562,.324,.436,.760,10,40,.800,6,2495,621.0,245,73.0,242.0,0,2,.309,1.14,0,23.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543037,Gerrit Cole,New York Yankees,Pitcher,2024,17,72,106,38,14,1,11,99,29,1,78,6,.220,355,.290,.358,.648,2,15,.882,7,1534,,127,,,0,0,,0.68,0,,17.0,3.41,95.0,8.0,5.0,0.0,0.0,0.0,0.0,36.0,1.13,390.0,285.0,17.0,0.0,0.0,998.0,.650,6.0,0.0,0.0,0.0,.615,16.15,0.0,3.41,9.38,2.75,7.39,3.60,1.04,0.0,0.0
641482,Nestor Cortes,New York Yankees,Pitcher,2024,31,122,221,74,44,0,24,162,39,0,162,4,.245,661,.290,.421,.711,5,8,.615,10,2849,,278,,,2,4,,0.55,0,,30.0,3.77,174.1,9.0,10.0,0.0,0.0,0.0,0.0,73.0,1.15,710.0,523.0,31.0,0.0,0.0,1854.0,.650,4.0,1.0,2.0,4.0,.474,16.34,1.0,4.15,8.36,2.01,8.36,3.82,1.24,1.0,0.0
664776,Jake Cousins,New York Yankees,Pitcher,2024,37,27,30,14,1,1,5,53,20,1,20,5,.154,130,.290,.292,.582,0,6,1.000,3,644,,38,,,0,0,,0.90,0,,0.0,2.37,38.0,2.0,1.0,1.0,1.0,8.0,0.0,10.0,1.05,155.0,114.0,37.0,0.0,0.0,406.0,.630,5.0,0.0,4.0,2.0,.667,16.95,6.0,2.65,12.55,4.74,4.74,3.32,1.18,18.0,9.0
605204,J.D. Davis,New York Yankees,First Base,2024,46,50,22,13,5,0,4,39,12,0,31,3,.218,142,.293,.338,.631,0,0,.---,5,587,157.0,48,6.0,70.0,0,0,.273,2.27,0,35.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660853,Enyel De Los Santos,New York Yankees,Pitcher,2024,64,50,67,38,17,1,17,66,25,1,65,5,.262,248,.342,.544,.886,0,3,1.000,7,1127,,135,,,0,0,,0.75,0,,0.0,5.20,64.0,1.0,2.0,2.0,4.0,9.0,2.0,37.0,1.41,278.0,192.0,64.0,0.0,0.0,753.0,.670,5.0,0.0,2.0,1.0,.333,17.61,20.0,2.64,9.28,3.52,9.14,5.34,2.39,47.0,18.0
691176,Jasson Domínguez,New York Yankees,Outfielder,2024,18,17,10,8,1,0,2,19,11,0,10,0,.179,56,.313,.304,.617,0,5,1.000,0,278,67.0,17,4.0,28.0,0,0,.229,1.70,0,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
